"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-11","St. John's, Newfoundland and Labrador","2011S0503001","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445801","3.5.1.2","8.0","","","","1"
"2020-12","St. John's, Newfoundland and Labrador","2011S0503001","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445801","3.5.1.2","7.0","","","","1"
"2020-01","Prince Edward Island","2016A000211","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445815","4.5.1.2","8.8","","","","1"
"2020-02","Prince Edward Island","2016A000211","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445815","4.5.1.2","9.5","","","","1"
"2020-03","Prince Edward Island","2016A000211","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445815","4.5.1.2","10.2","","","","1"
"2020-04","Prince Edward Island","2016A000211","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445815","4.5.1.2","12.0","","","","1"
"2020-05","Prince Edward Island","2016A000211","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445815","4.5.1.2","13.1","","","","1"
"2020-06","Prince Edward Island","2016A000211","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445815","4.5.1.2","12.7","","","","1"
"2020-07","Prince Edward Island","2016A000211","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445815","4.5.1.2","11.1","","","","1"
"2020-08","Prince Edward Island","2016A000211","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445815","4.5.1.2","9.7","","","","1"
"2020-09","Prince Edward Island","2016A000211","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445815","4.5.1.2","8.9","","","","1"
"2020-10","Prince Edward Island","2016A000211","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445815","4.5.1.2","8.2","","","","1"
"2020-11","Prince Edward Island","2016A000211","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445815","4.5.1.2","8.7","","","","1"
"2020-12","Prince Edward Island","2016A000211","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445815","4.5.1.2","9.9","","","","1"
"2020-01","Nova Scotia","2016A000212","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445829","5.5.1.2","7.8","","","","1"
"2020-02","Nova Scotia","2016A000212","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445829","5.5.1.2","8.1","","","","1"
"2020-03","Nova Scotia","2016A000212","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445829","5.5.1.2","8.9","","","","1"
"2020-04","Nova Scotia","2016A000212","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445829","5.5.1.2","10.5","","","","1"
"2020-05","Nova Scotia","2016A000212","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445829","5.5.1.2","12.0","","","","1"
"2020-06","Nova Scotia","2016A000212","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445829","5.5.1.2","12.7","","","","1"
"2020-07","Nova Scotia","2016A000212","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445829","5.5.1.2","11.8","","","","1"
"2020-08","Nova Scotia","2016A000212","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445829","5.5.1.2","11.2","","","","1"
"2020-09","Nova Scotia","2016A000212","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445829","5.5.1.2","9.5","","","","1"
"2020-10","Nova Scotia","2016A000212","Unemployment rate","Estimate","Unadjusted","Percentage","242","units","0","v91445829","5.5.1.2","8.7","","","","1"
